
prompt,expected_answer,domain_tag
Reuters reports that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower; is this accurate?,No credible sources report that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower. .,risk
"According to reports, did Goldman Sachs announced a merger with Morgan Stanley in 2025?",No credible sources report that Goldman Sachs announced a merger with Morgan Stanley in 2025. .,news updates
"According to reports, did Goldman Sachs launched an AI-driven retail bank in 2025?",No credible sources report that Goldman Sachs launched an AI-driven retail bank in 2025. .,news updates
Did Bank of America really reported that more than 20% of its loan portfolio was concentrated in a single borrower?,No credible sources report that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower. .,risk
"How did Bank of America's net interest income in the fourth quarter of 2024 change, according to Reuters?",net interest income rose 3% to $14.4 billion .,reports
Is it true that JPMorgan spun off its consumer bank into a separate company?,No credible sources report that JPMorgan spun off its consumer bank into a separate company. .,news updates
What was the JPMorgan for net interest income change in Q4 2024 and where is it reported?,net interest income fell 3% to $23.5 billion .,reports
Reuters reports that Bank of America acquired fintech startup CryptoFin in 2025; is this accurate?,No credible sources report that Bank of America acquired fintech startup CryptoFin in 2025. .,news updates
What Goldman Sachs did overall revenue and profit per share for 2024 report?,overall revenue was $53.51 billion and profit per share was $40.54 .,reports
What was the Goldman Sachs for asset and wealth management revenue change in Q2 2025 and where is it reported?,asset and wealth management revenue dipped 3% to $3.78 billion .,reports
"How did Bank of America's net income for the fourth quarter of 2024 change, according to Reuters?",Bank of America's net income for Q4 2024 was $6.7 billion (82 cents per share) .,reports
Did Goldman Sachs really reported a net profit of $1.2 billion in its platform solutions unit in 2024?,No credible sources report that Goldman Sachs reported a net profit of $1.2 billion in its platform solutions unit in 2024. .,reports
Reuters reports that Goldman Sachs launched an AI-driven retail bank in 2025; is this accurate?,No credible sources report that Goldman Sachs launched an AI-driven retail bank in 2025. .,news updates
What Charles Schwab did adjusted profit per share in Q4 2024 report?,adjusted profit was $1.01 per share .,reports
Has Charles Schwab paid a significant fine for a data breach affecting millions of accounts?,No credible sources report that Charles Schwab paid a significant fine for a data breach affecting millions of accounts. .,legal
"How did Goldman Sachs's profit and EPS in Q4 2024 change, according to Reuters?","profit was $4.11 billion, or $11.95 per diluted share .",reports
"According to Reuters, what was Bank of America's wealth and investment management client balances at the end of 2024?",client balances jumped 12% to a record $4.3 trillion .,reports
"How did Bank of America's net interest income in the fourth quarter of 2024 change, according to Reuters?",net interest income rose 3% to $14.4 billion .,reports
Provide the Charles Schwab for asset management and administration fees change in Q4 2024 as reported by Reuters.,asset management and administration fees increased 22% to $1.51 billion .,reports
Provide the Charles Schwab for profit increase and factors for Q4 2024 as reported by Reuters.,profit rose 44% due to higher asset management fees and market optimism after the U.S. election .,reports
"According to Reuters, what was Charles Schwab's total net revenues in Q4 2024?","total net revenues were $5.33 billion, up 20% .",reports
"According to reports, did Bank of America acquired fintech startup FinNova in 2025?",No credible sources report that Bank of America acquired fintech startup FinNova in 2025. .,news updates
"According to reports, did Charles Schwab paid a significant fine for a data breach affecting millions of accounts?",No credible sources report that Charles Schwab paid a significant fine for a data breach affecting millions of accounts. .,legal
Provide the Goldman Sachs for underwriting revenue change in Q4 2024 as reported by Reuters.,equity underwriting revenue jumped 98% and debt underwriting revenue rose 51% .,reports
Reuters reports that Goldman Sachs committed to purchase Apple's credit-card portfolio; is this accurate?,No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. .,news updates
What was the Bank of America for net income for the fourth quarter of 2024 and where is it reported?,Bank of America's net income for Q4 2024 was $6.7 billion (82 cents per share) .,reports
What was the Charles Schwab for asset management and administration fees change in Q4 2024 and where is it reported?,asset management and administration fees increased 22% to $1.51 billion .,reports
Provide the Goldman Sachs for comment on acquisitions bar as reported by Reuters.,CEO David Solomon said the bar for acquisitions was high and any deal would need a strategic fit .,news updates
Is it true that Goldman Sachs committed to purchase Apple's credit-card portfolio?,No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. .,news updates
Did Charles Schwab really announced a merger with Robinhood in 2025?,No credible sources report that Charles Schwab announced a merger with Robinhood in 2025. .,news updates
What was the Charles Schwab for total net revenues in Q4 2024 and where is it reported?,"total net revenues were $5.33 billion, up 20% .",reports
Has Charles Schwab committed to double female leadership representation by 2030?,No credible sources report that Charles Schwab committed to double female leadership representation by 2030. .,HR
"According to Reuters, what was Bank of America's regulatory action related to anti-money-laundering programs in 2024?",a U.S. bank regulator issued a regulatory punishment over anti-money-laundering program shortcomings .,legal
"How did JPMorgan's investment-banking and trading revenue growth in Q4 2024 change, according to Reuters?",investment-banking fees jumped 49% and trading revenue rose 21% .,reports
Provide the Bank of America for sales and trading revenue in Q4 2024 as reported by Reuters.,sales and trading revenue rose 10% to $4.1 billion .,reports
"Is it true that JPMorgan announced plans to lay off 60,000 employees in 2025?","No credible sources report that JPMorgan announced plans to lay off 60,000 employees in 2025. .",HR
Did Bank of America really acquired fintech startup ZenPay in 2025?,No credible sources report that Bank of America acquired fintech startup ZenPay in 2025. .,news updates
Reuters reports that Charles Schwab launched a new crypto exchange for retail investors; is this accurate?,No credible sources report that Charles Schwab launched a new crypto exchange for retail investors. .,news updates
